"","OR","2.5 %","97.5 %"
"(Intercept)",0.160672628188367,0.111697577083734,0.233337378271746
"hormone1",0.893944610892186,0.755199887950225,1.02422670689569
"hormone2",1.00051761075444,0.999923878941013,1.00106948036873
